year,country,medals
1896,United States of America,20
1896,France,11
1896,Great Britain,7
1900,United States of America,47
1900,France,102
1900,Great Britain,31
1904,United States of America,239
1904,France,1
1904,Great Britain,2
1908,United States of America,47
1908,France,19
1908,Great Britain,146
1912,United States of America,63
1912,France,14
1912,Great Britain,41
1920,United States of America,95
1920,France,41
1920,Great Britain,41
1924,United States of America,99
1924,France,38
1924,Great Britain,34
1928,United States of America,56
1928,France,21
1928,Great Britain,20
1932,United States of America,103
1932,France,19
1932,Great Britain,16
1936,United States of America,56
1936,France,19
1936,Great Britain,15
1948,United States of America,84
1948,France,29
1948,Great Britain,23
1952,United States of America,76
1952,France,23
1952,Great Britain,11
1956,United States of America,74
1956,France,14
1956,Great Britain,24
1960,United States of America,71
1960,France,9
1960,Great Britain,20
1964,United States of America,90
1964,France,15
1964,Great Britain,18
1968,United States of America,107
1968,France,15
1968,Great Britain,13
1972,United States of America,94
1972,France,13
1972,Great Britain,18
1976,United States of America,94
1976,France,9
1976,Great Britain,13
1980,United States of America,0
1980,France,14
1980,Great Britain,21
1984,United States of America,174
1984,France,28
1984,Great Britain,37
1984,People’s Republic of China,32
1988,United States of America,94
1988,France,16
1988,Great Britain,24
1988,People’s Republic of China,28
1992,United States of America,108
1992,France,29
1992,Great Britain,20
1992,People’s Republic of China,54
1996,United States of America,101
1996,France,37
1996,Great Britain,15
1996,People’s Republic of China,50
2000,United States of America,93
2000,France,38
2000,Great Britain,28
2000,People’s Republic of China,58
2004,United States of America,101
2004,France,33
2004,Great Britain,30
2004,People’s Republic of China,63
2008,United States of America,110
2008,France,41
2008,Great Britain,47
2008,People’s Republic of China,100
2012,United States of America,104
2012,France,34
2012,Great Britain,65
2012,People’s Republic of China,88
2016,United States of America,121
2016,France,42
2016,Great Britain,67
2016,People’s Republic of China,70
2020,United States of America,113
2020,France,33
2020,Great Britain,65
2020,People’s Republic of China,88
