Year,Sport,Country,Medals
1896,Athletics,United States of America,16
1896,Athletics,Greece,9
1896,Athletics,Hungary,3
1896,Cycling Road,Germany,1
1896,Cycling Road,Great Britain,1
1896,Cycling Road,Greece,1
1896,Cycling Track,France,6
1896,Cycling Track,Austria,3
1896,Cycling Track,Greece,3
1896,Fencing,Greece,4
1896,Fencing,France,3
1896,Fencing,Denmark,1
1896,Gymnastics Artistic,Germany,10
1896,Gymnastics Artistic,Greece,6
1896,Gymnastics Artistic,Switzerland,3
1896,Shooting,Greece,9
1896,Shooting,Denmark,3
1896,Shooting,United States of America,3
1896,Swimming,Greece,6
1896,Swimming,Austria,2
1896,Swimming,Hungary,2
1896,Tennis,Greece,3
1896,Tennis,Great Britain,1
1896,Weightlifting,Denmark,2
1896,Weightlifting,Great Britain,2
1896,Weightlifting,Greece,2
1896,Wrestling,Greece,2
1896,Wrestling,Germany,1
1900,Archery,France,13
1900,Archery,Belgium,7
1900,Athletics,United States of America,39
1900,Athletics,Great Britain,8
1900,Athletics,France,6
1900,Basque Pelota,Spain,1
1900,Cricket,Great Britain,1
1900,Croquet,France,7
1900,Cycling Track,France,5
1900,Cycling Track,Germany,1
1900,Cycling Track,Great Britain,1
1900,Equestrian Jumping,Belgium,4
1900,Equestrian Jumping,France,3
1900,Equestrian Jumping,Italy,2
1900,Fencing,France,15
1900,Fencing,Austria,2
1900,Fencing,Cuba,2
1900,Football,France,1
1900,Football,Great Britain,1
1900,Golf,United States of America,4
1900,Golf,Great Britain,2
1900,Gymnastics Artistic,France,3
1900,Rowing,France,6
1900,Rowing,Germany,3
1900,Rowing,Netherlands,2
1900,Rugby,Germany,1
1900,Rugby,Great Britain,1
1900,Sailing,France,24
1900,Sailing,Great Britain,6
1900,Sailing,Germany,2
1900,Shooting,Switzerland,7
1900,Shooting,France,6
1900,Shooting,Denmark,4
1900,Swimming,France,5
1900,Swimming,Austria,4
1900,Swimming,Great Britain,3
1900,Tennis,Great Britain,7
1900,Tennis,France,2
1900,Water Polo,Belgium,1
1900,Water Polo,France,1
1904,Archery,United States of America,16
1904,Athletics,United States of America,64
1904,Athletics,Great Britain,2
1904,Athletics,Canada,1
1904,Boxing,United States of America,18
1904,Cycling Track,United States of America,21
1904,Diving,United States of America,2
1904,Diving,Germany,1
1904,Fencing,United States of America,10
1904,Fencing,Cuba,3
1904,Football,United States of America,2
1904,Football,Canada,1
1904,Golf,United States of America,3
1904,Golf,Canada,1
1904,Gymnastics Artistic,United States of America,27
1904,Gymnastics Artistic,Austria,2
1904,Gymnastics Artistic,Germany,2
1904,Lacrosse,Canada,2
1904,Lacrosse,United States of America,1
1904,Roque,United States of America,3
1904,Rowing,United States of America,13
1904,Rowing,Canada,1
1904,Swimming,United States of America,13
1904,Swimming,Germany,8
1904,Swimming,Australia,4
1904,Tennis,United States of America,6
1904,Tug of War,United States of America,2
1904,Water Polo,United States of America,3
1904,Weightlifting,United States of America,3
1904,Weightlifting,Germany,2
1904,Weightlifting,Greece,1
1904,Wrestling,United States of America,17
1904,Wrestling,Norway,2
1904,Wrestling,Germany,1
1908,Archery,Great Britain,5
1908,Archery,France,3
1908,Archery,United States of America,1
1908,Athletics,United States of America,33
1908,Athletics,Great Britain,17
1908,Athletics,Canada,6
1908,Boxing,Great Britain,14
1908,Boxing,Australasia,1
1908,Cycling Track,Great Britain,9
1908,Cycling Track,France,5
1908,Cycling Track,Germany,2
1908,Diving,Germany,3
1908,Diving,Sweden,3
1908,Diving,United States of America,1
1908,Fencing,France,4
1908,Fencing,Hungary,3
1908,Fencing,Bohemia,2
1908,Figure skating,Great Britain,6
1908,Figure skating,Sweden,3
1908,Figure skating,Germany,2
1908,Football,Denmark,1
1908,Football,Great Britain,1
1908,Football,Netherlands,1
1908,Gymnastics Artistic,Finland,1
1908,Gymnastics Artistic,France,1
1908,Gymnastics Artistic,Great Britain,1
1908,Hockey,Great Britain,3
1908,Jeu de Paume,Great Britain,2
1908,Jeu de Paume,United States of America,1
1908,Lacrosse,Canada,1
1908,Lacrosse,Great Britain,1
1908,Polo,Great Britain,2
1908,Rackets,Great Britain,1
1908,Rowing,Great Britain,8
1908,Rowing,Canada,3
1908,Rowing,Germany,2
1908,Rugby,Australasia,1
1908,Rugby,Great Britain,1
1908,Sailing,Great Britain,6
1908,Sailing,Belgium,1
1908,Sailing,France,1
1908,Shooting,Great Britain,21
1908,Shooting,United States of America,6
1908,Shooting,Sweden,5
1908,Swimming,Great Britain,7
1908,Swimming,Australasia,2
1908,Swimming,Hungary,2
1908,Tennis,Great Britain,13
1908,Tennis,Germany,1
1908,Tennis,Sweden,1
1908,Tug of War,Great Britain,3
1908,Water Motorsports,Great Britain,2
1908,Water Motorsports,France,1
1908,Water Polo,Belgium,1
1908,Water Polo,Great Britain,1
1908,Water Polo,Sweden,1
1908,Wrestling,Great Britain,11
1908,Wrestling,Denmark,3
1908,Wrestling,Finland,3
1912,Athletics,United States of America,41
1912,Athletics,Sweden,15
1912,Athletics,Finland,13
1912,Cycling Road,Great Britain,2
1912,Cycling Road,United States of America,2
1912,Cycling Road,South Africa,1
1912,Diving,Sweden,7
1912,Diving,Germany,4
1912,Diving,Great Britain,1
1912,Equestrian Dressage,Sweden,2
1912,Equestrian Eventing,Germany,2
1912,Equestrian Eventing,Sweden,2
1912,Equestrian Eventing,France,1
1912,Equestrian Jumping,France,2
1912,Equestrian Jumping,Belgium,1
1912,Equestrian Jumping,Germany,1
1912,Fencing,Hungary,4
1912,Fencing,Belgium,3
1912,Fencing,Austria,2
1912,Football,Denmark,1
1912,Football,Great Britain,1
1912,Football,Netherlands,1
1912,Gymnastics Artistic,Italy,3
1912,Gymnastics Artistic,Denmark,2
1912,Gymnastics Artistic,Norway,2
1912,Modern Pentathlon,Sweden,3
1912,Rowing,Great Britain,3
1912,Rowing,Denmark,2
1912,Rowing,Germany,2
1912,Sailing,Sweden,4
1912,Sailing,Finland,3
1912,Sailing,Norway,2
1912,Shooting,Sweden,17
1912,Shooting,United States of America,13
1912,Shooting,Great Britain,9
1912,Swimming,Germany,7
1912,Swimming,Australasia,6
1912,Swimming,Great Britain,6
1912,Tennis,Great Britain,6
1912,Tennis,France,5
1912,Tennis,Germany,3
1912,Tug of War,Great Britain,1
1912,Tug of War,Sweden,1
1912,Water Polo,Belgium,1
1912,Water Polo,Great Britain,1
1912,Water Polo,Sweden,1
1912,Wrestling,Finland,7
1912,Wrestling,Sweden,4
1912,Wrestling,Denmark,1
1920,Archery,Belgium,14
1920,Archery,France,6
1920,Archery,Netherlands,1
1920,Athletics,United States of America,29
1920,Athletics,Finland,16
1920,Athletics,Sweden,14
1920,Boxing,Great Britain,6
1920,Boxing,Canada,5
1920,Boxing,United States of America,4
1920,Cycling Road,France,2
1920,Cycling Road,Sweden,2
1920,Cycling Road,Belgium,1
1920,Cycling Track,Great Britain,5
1920,Cycling Track,Netherlands,3
1920,Cycling Track,South Africa,2
1920,Diving,United States of America,8
1920,Diving,Sweden,5
1920,Diving,Denmark,1
1920,Equestrian  Vaulting,Belgium,3
1920,Equestrian  Vaulting,France,2
1920,Equestrian  Vaulting,Sweden,1
1920,Equestrian Dressage,Sweden,2
1920,Equestrian Eventing,Italy,2
1920,Equestrian Eventing,Belgium,1
1920,Equestrian Jumping,Italy,3
1920,Equestrian Jumping,Sweden,2
1920,Equestrian Jumping,Belgium,1
1920,Fencing,France,8
1920,Fencing,Italy,6
1920,Fencing,Netherlands,2
1920,Figure skating,Norway,3
1920,Figure skating,Sweden,3
1920,Figure skating,Finland,1
1920,Football,Belgium,1
1920,Football,Netherlands,1
1920,Football,Spain,1
1920,Gymnastics Artistic,France,3
1920,Gymnastics Artistic,Belgium,2
1920,Gymnastics Artistic,Denmark,2
1920,Hockey,Belgium,1
1920,Hockey,Denmark,1
1920,Hockey,Great Britain,1
1920,Ice Hockey,Canada,1
1920,Ice Hockey,Czechoslovakia,1
1920,Ice Hockey,United States of America,1
1920,Modern Pentathlon,Sweden,3
1920,Polo,Great Britain,1
1920,Polo,Spain,1
1920,Polo,United States of America,1
1920,Rowing,United States of America,4
1920,Rowing,France,2
1920,Rowing,Great Britain,2
1920,Rugby,France,1
1920,Rugby,United States of America,1
1920,Sailing,Norway,11
1920,Sailing,Belgium,3
1920,Sailing,Netherlands,3
1920,Shooting,United States of America,23
1920,Shooting,Norway,11
1920,Shooting,Sweden,10
1920,Swimming,United States of America,16
1920,Swimming,Sweden,5
1920,Swimming,Australia,2
1920,Tennis,Great Britain,6
1920,Tennis,France,4
1920,Tennis,Japan,2
1920,Tug of War,Belgium,1
1920,Tug of War,Great Britain,1
1920,Tug of War,Netherlands,1
1920,Water Polo,Belgium,1
1920,Water Polo,Great Britain,1
1920,Water Polo,Sweden,1
1920,Weightlifting,Belgium,3
1920,Weightlifting,France,3
1920,Weightlifting,Estonia,2
1920,Wrestling,Finland,12
1920,Wrestling,Sweden,6
1920,Wrestling,United States of America,6
1924,Athletics,United States of America,32
1924,Athletics,Finland,17
1924,Athletics,Great Britain,11
1924,Bobsleigh,Belgium,1
1924,Bobsleigh,Great Britain,1
1924,Bobsleigh,Switzerland,1
1924,Boxing,United States of America,6
1924,Boxing,Argentina,4
1924,Boxing,Great Britain,4
1924,Cross Country Skiing,Norway,5
1924,Cross Country Skiing,Finland,1
1924,Curling,France,1
1924,Curling,Great Britain,1
1924,Curling,Sweden,1
1924,Cycling Road,France,3
1924,Cycling Road,Belgium,2
1924,Cycling Road,Sweden,1
1924,Cycling Track,France,3
1924,Cycling Track,Netherlands,3
1924,Cycling Track,Great Britain,2
1924,Diving,United States of America,11
1924,Diving,Sweden,2
1924,Diving,Australia,1
1924,Equestrian Dressage,Sweden,2
1924,Equestrian Dressage,France,1
1924,Equestrian Eventing,Netherlands,2
1924,Equestrian Eventing,Denmark,1
1924,Equestrian Eventing,Italy,1
1924,Equestrian Jumping,Switzerland,2
1924,Equestrian Jumping,Italy,1
1924,Equestrian Jumping,Poland,1
1924,Fencing,France,6
1924,Fencing,Belgium,4
1924,Fencing,Hungary,4
1924,Figure skating,Austria,3
1924,Figure skating,Finland,1
1924,Figure skating,France,1
1924,Football,Sweden,1
1924,Football,Switzerland,1
1924,Football,Uruguay,1
